AIRPORT,Year,Month,INBOUND,OUTBOUND,TOTAL,INBOUND,OUTBOUND,TOTAL,INBOUND,OUTBOUND,Passengers
DARWIN,2016,7,97118.00,98221.00,195339.00,15791.00,13694.00,29485.00,112909.00,111915.00,224824.00
DARWIN,2016,8,86449.00,93385.00,179834.00,12553.00,12772.00,25325.00,99002.00,106157.00,205159.00
DARWIN,2016,9,82167.00,83178.00,165345.00,11777.00,12080.00,23857.00,93944.00,95258.00,189202.00
DARWIN,2016,10,81098.00,85102.00,166200.00,12234.00,11149.00,23383.00,93332.00,96251.00,189583.00
DARWIN,2016,11,69322.00,70127.00,139449.00,9560.00,9637.00,19197.00,78882.00,79764.00,158646.00
DARWIN,2016,12,63916.00,77790.00,141706.00,8924.00,17076.00,26000.00,72840.00,94866.00,167706.00
DARWIN,2017,1,73163.00,61620.00,134783.00,17466.00,11510.00,28976.00,90629.00,73130.00,163759.00
DARWIN,2017,2,53766.00,54788.00,108554.00,10799.00,7972.00,18771.00,64565.00,62760.00,127325.00
DARWIN,2017,3,67319.00,65572.00,132891.00,9524.00,9890.00,19414.00,76843.00,75462.00,152305.00
DARWIN,2017,4,73820.00,73730.00,147550.00,11407.00,11660.00,23067.00,85227.00,85390.00,170617.00
DARWIN,2017,5,77086.00,72354.00,149440.00,10377.00,10756.00,21133.00,87463.00,83110.00,170573.00
DARWIN,2017,6,89615.00,83613.00,173228.00,11386.00,14142.00,25528.00,101001.00,97755.00,198756.00
DARWIN,2017,7,96791.00,99647.00,196438.00,14671.00,13244.00,27915.00,111462.00,112891.00,224353.00
DARWIN,2017,8,90820.00,93937.00,184757.00,11606.00,12589.00,24195.00,102426.00,106526.00,208952.00
DARWIN,2017,9,80377.00,81831.00,162208.00,11525.00,10651.00,22176.00,91902.00,92482.00,184384.00
DARWIN,2017,10,78841.00,82495.00,161336.00,11330.00,10565.00,21895.00,90171.00,93060.00,183231.00
DARWIN,2017,11,68432.00,70673.00,139105.00,9446.00,9662.00,19108.00,77878.00,80335.00,158213.00
DARWIN,2017,12,63841.00,75420.00,139261.00,8449.00,14230.00,22679.00,72290.00,89650.00,161940.00
DARWIN,2018,1,71306.00,60705.00,132011.00,15625.00,10304.00,25929.00,86931.00,71009.00,157940.00
DARWIN,2018,2,52433.00,53191.00,105624.00,8919.00,7364.00,16283.00,61352.00,60555.00,121907.00
DARWIN,2018,3,64602.00,65239.00,129841.00,7718.00,8106.00,15824.00,72320.00,73345.00,145665.00
DARWIN,2018,4,72393.00,70218.00,142611.00,9102.00,9005.00,18107.00,81495.00,79223.00,160718.00
DARWIN,2018,5,76202.00,74029.00,150231.00,7979.00,8184.00,16163.00,84181.00,82213.00,166394.00
DARWIN,2018,6,84518.00,80484.00,165002.00,9976.00,10931.00,20907.00,94494.00,91415.00,185909.00
DARWIN,2018,7,96710.00,100013.00,196723.00,10465.00,9930.00,20395.00,107175.00,109943.00,217118.00
DARWIN,2018,8,86310.00,91491.00,177801.00,10085.00,10455.00,20540.00,96395.00,101946.00,198341.00
DARWIN,2018,9,81111.00,82002.00,163113.00,9327.00,9011.00,18338.00,90438.00,91013.00,181451.00
DARWIN,2018,10,74963.00,80197.00,155160.00,9424.00,8537.00,17961.00,84387.00,88734.00,173121.00
DARWIN,2018,11,62541.00,64400.00,126941.00,8426.00,8618.00,17044.00,70967.00,73018.00,143985.00
DARWIN,2018,12,59703.00,70480.00,130183.00,7985.00,13115.00,21100.00,67688.00,83595.00,151283.00
DARWIN,2019,1,65415.00,56170.00,121585.00,13501.00,9880.00,23381.00,78916.00,66050.00,144966.00
DARWIN,2019,2,51741.00,52055.00,103796.00,9136.00,6754.00,15890.00,60877.00,58809.00,119686.00
DARWIN,2019,3,60587.00,59296.00,119883.00,7932.00,7402.00,15334.00,68519.00,66698.00,135217.00
DARWIN,2019,4,73370.00,70662.00,144032.00,10018.00,10067.00,20085.00,83388.00,80729.00,164117.00
DARWIN,2019,5,73588.00,71246.00,144834.00,10481.00,11013.00,21494.00,84069.00,82259.00,166328.00
DARWIN,2019,6,83691.00,79376.00,163067.00,10830.00,12907.00,23737.00,94521.00,92283.00,186804.00
DARWIN,2019,7,93885.00,97733.00,191618.00,14178.00,11800.00,25978.00,108063.00,109533.00,217596.00
DARWIN,2019,8,85090.00,90369.00,175459.00,12323.00,12564.00,24887.00,97413.00,102933.00,200346.00
DARWIN,2019,9,77127.00,78844.00,155971.00,11655.00,11409.00,23064.00,88782.00,90253.00,179035.00
DARWIN,2019,10,74434.00,79762.00,154196.00,11996.00,9762.00,21758.00,86430.00,89524.00,175954.00
DARWIN,2019,11,60776.00,63808.00,124584.00,9006.00,9238.00,18244.00,69782.00,73046.00,142828.00
DARWIN,2019,12,60593.00,67842.00,128435.00,7543.00,14635.00,22178.00,68136.00,82477.00,150613.00
DARWIN,2020,1,64657.00,56560.00,121217.00,15026.00,10712.00,25738.00,79683.00,67272.00,146955.00
DARWIN,2020,2,48141.00,50081.00,98222.00,8685.00,5674.00,14359.00,56826.00,55755.00,112581.00
DARWIN,2020,3,41355.00,39999.00,81354.00,4342.00,2910.00,7252.00,45697.00,42909.00,88606.00
DARWIN,2020,4,3401.00,3309.00,6710.00,0.00,0.00,0.00,3401.00,3309.00,6710.00
DARWIN,2020,5,3014.00,2736.00,5750.00,0.00,0.00,0.00,3014.00,2736.00,5750.00
DARWIN,2020,6,6728.00,6568.00,13296.00,0.00,0.00,0.00,6728.00,6568.00,13296.00
DARWIN,2020,7,14237.00,12332.00,26569.00,0.00,0.00,0.00,14237.00,12332.00,26569.00
DARWIN,2020,8,19355.00,19061.00,38416.00,0.00,0.00,0.00,19355.00,19061.00,38416.00
DARWIN,2020,9,25754.00,24295.00,50049.00,0.00,0.00,0.00,25754.00,24295.00,50049.00
DARWIN,2020,10,31623.00,33532.00,65155.00,0.00,0.00,0.00,31623.00,33532.00,65155.00
DARWIN,2020,11,31186.00,33267.00,64453.00,63.00,4.00,67.00,31249.00,33271.00,64520.00
DARWIN,2020,12,38497.00,45294.00,83791.00,8.00,0.00,8.00,38505.00,45294.00,83799.00
DARWIN,2021,1,40399.00,38445.00,78844.00,0.00,0.00,0.00,40399.00,38445.00,78844.00
DARWIN,2021,2,27246.00,29308.00,56554.00,0.00,0.00,0.00,27246.00,29308.00,56554.00
DARWIN,2021,3,41072.00,41479.00,82551.00,0.00,0.00,0.00,41072.00,41479.00,82551.00
DARWIN,2021,4,58960.00,57078.00,116038.00,0.00,0.00,0.00,58960.00,57078.00,116038.00
DARWIN,2021,5,64413.00,62995.00,127408.00,0.00,0.00,0.00,64413.00,62995.00,127408.00
DARWIN,2021,6,59264.00,60502.00,119766.00,0.00,0.00,0.00,59264.00,60502.00,119766.00
DARWIN,2021,7,45513.00,45924.00,91437.00,0.00,0.00,0.00,45513.00,45924.00,91437.00
DARWIN,2021,8,38962.00,45706.00,84668.00,0.00,0.00,0.00,38962.00,45706.00,84668.00
DARWIN,2021,9,47173.00,50023.00,97196.00,0.00,0.00,0.00,47173.00,50023.00,97196.00
DARWIN,2021,10,44302.00,51407.00,95709.00,0.00,0.00,0.00,44302.00,51407.00,95709.00
DARWIN,2021,11,27062.00,31216.00,58278.00,887.00,181.00,1068.00,27949.00,31397.00,59346.00
DARWIN,2021,12,27859.00,36036.00,63895.00,1003.00,679.00,1682.00,28862.00,36715.00,65577.00
DARWIN,2022,1,33550.00,27956.00,61506.00,1128.00,672.00,1800.00,34678.00,28628.00,63306.00
DARWIN,2022,2,25989.00,27998.00,53987.00,1800.00,858.00,2658.00,27789.00,28856.00,56645.00
DARWIN,2022,3,43814.00,44414.00,88228.00,2796.00,1979.00,4775.00,46610.00,46393.00,93003.00
DARWIN,2022,4,69585.00,67980.00,137565.00,4633.00,4999.00,9632.00,74218.00,72979.00,147197.00
DARWIN,2022,5,74594.00,70583.00,145177.00,5768.00,6601.00,12369.00,80362.00,77184.00,157546.00
DARWIN,2022,6,87873.00,78844.00,166717.00,6072.00,7727.00,13799.00,93945.00,86571.00,180516.00
DARWIN,2022,7,93673.00,97593.00,191266.00,8642.00,7711.00,16353.00,102315.00,105304.00,207619.00
DARWIN,2022,8,77807.00,83209.00,161016.00,7483.00,6757.00,14240.00,85290.00,89966.00,175256.00
DARWIN,2022,9,76708.00,80271.00,156979.00,6289.00,6134.00,12423.00,82997.00,86405.00,169402.00
DARWIN,2022,10,71747.00,76723.00,148470.00,6707.00,5765.00,12472.00,78454.00,82488.00,160942.00
DARWIN,2022,11,57288.00,59696.00,116984.00,7064.00,6823.00,13887.00,64352.00,66519.00,130871.00
DARWIN,2022,12,52909.00,64556.00,117465.00,5409.00,7952.00,13361.00,58318.00,72508.00,130826.00
DARWIN,2023,1,57714.00,49886.00,107600.00,7777.00,6134.00,13911.00,65491.00,56020.00,121511.00
DARWIN,2023,2,43558.00,43549.00,87107.00,6650.00,5164.00,11814.00,50208.00,48713.00,98921.00
DARWIN,2023,3,57575.00,55273.00,112848.00,6237.00,5577.00,11814.00,63812.00,60850.00,124662.00
DARWIN,2023,4,67366.00,64435.00,131801.00,6319.00,6734.00,13053.00,73685.00,71169.00,144854.00
DARWIN,2023,5,72768.00,69623.00,142391.00,6474.00,6504.00,12978.00,79242.00,76127.00,155369.00
DARWIN,2023,6,82253.00,75790.00,158043.00,6842.00,7183.00,14025.00,89095.00,82973.00,172068.00
DARWIN,2023,7,87172.00,90824.00,177996.00,8697.00,8406.00,17103.00,95869.00,99230.00,195099.00
DARWIN,2023,8,80462.00,84572.00,165034.00,8403.00,8207.00,16610.00,88865.00,92779.00,181644.00
DARWIN,2023,9,74658.00,78849.00,153507.00,8317.00,7713.00,16030.00,82975.00,86562.00,169537.00
DARWIN,2023,10,69188.00,71688.00,140876.00,5792.00,4943.00,10735.00,74980.00,76631.00,151611.00
DARWIN,2023,11,53752.00,55591.00,109343.00,7317.00,7608.00,14925.00,61069.00,63199.00,124268.00
DARWIN,2023,12,52349.00,62568.00,114917.00,6170.00,8556.00,14726.00,58519.00,71124.00,129643.00
DARWIN,2024,1,58692.00,51559.00,110251.00,8647.00,6677.00,15324.00,67339.00,58236.00,125575.00
DARWIN,2024,2,47084.00,47414.00,94498.00,7541.00,6586.00,14127.00,54625.00,54000.00,108625.00
DARWIN,2024,3,55733.00,54290.00,110023.00,7612.00,7730.00,15342.00,63345.00,62020.00,125365.00
DARWIN,2024,4,65696.00,62112.00,127808.00,8507.00,8090.00,16597.00,74203.00,70202.00,144405.00
DARWIN,2024,5,69901.00,66644.00,136545.00,8842.00,8847.00,17689.00,78743.00,75491.00,154234.00
DARWIN,2024,6,78771.00,73736.00,152507.00,9222.00,9922.00,19144.00,87993.00,83658.00,171651.00
DARWIN,2024,7,88217.00,89452.00,177669.00,10073.00,9450.00,19523.00,98290.00,98902.00,197192.00
DARWIN,2024,8,79567.00,85037.00,164604.00,9476.00,9866.00,19342.00,89043.00,94903.00,183946.00
DARWIN,2024,9,73915.00,77477.00,151392.00,9871.00,9937.00,19808.00,83786.00,87414.00,171200.00
DARWIN,2024,10,68872.00,72105.00,140977.00,10125.00,9267.00,19392.00,78997.00,81372.00,160369.00
DARWIN,2024,11,58678.00,60967.00,119645.00,8689.00,8647.00,17336.00,67367.00,69614.00,136981.00
DARWIN,2024,12,55235.00,65415.00,120650.00,7328.00,10288.00,17616.00,62563.00,75703.00,138266.00
DARWIN,2025,1,59763.00,51999.00,111762.00,9862.00,8335.00,18197.00,69625.00,60334.00,129959.00
DARWIN,2025,2,46826.00,47121.00,93947.00,8538.00,7227.00,15765.00,55364.00,54348.00,109712.00
DARWIN,2025,3,56762.00,54078.00,110840.00,8542.00,7834.00,16376.00,65304.00,61912.00,127216.00
DARWIN,2025,4,69109.00,66056.00,135165.00,11429.00,12184.00,23613.00,80538.00,78240.00,158778.00
DARWIN,2025,5,73279.00,69730.00,143009.00,11170.00,11190.00,22360.00,84449.00,80920.00,165369.00
DARWIN,2025,6,82097.00,75946.00,158043.00,12034.00,13469.00,25503.00,94131.00,89415.00,183546.00
GOLD COAST,2009,1,195206.00,199577.00,394783.00,27096.00,24424.00,51520.00,222302.00,224001.00,446303.00
GOLD COAST,2009,2,154912.00,155895.00,310807.00,22327.00,20925.00,43252.00,177239.00,176820.00,354059.00
GOLD COAST,2009,3,176763.00,175727.00,352490.00,24079.00,23976.00,48055.00,200842.00,199703.00,400545.00
GOLD COAST,2009,4,176219.00,177224.00,353443.00,23212.00,22039.00,45251.00,199431.00,199263.00,398694.00
GOLD COAST,2009,5,165641.00,166003.00,331644.00,23809.00,25504.00,49313.00,189450.00,191507.00,380957.00
GOLD COAST,2009,6,156077.00,153760.00,309837.00,20573.00,21830.00,42403.00,176650.00,175590.00,352240.00
GOLD COAST,2009,7,182386.00,181734.00,364120.00,25121.00,23157.00,48278.00,207507.00,204891.00,412398.00
GOLD COAST,2009,8,179302.00,176975.00,356277.00,27415.00,29116.00,56531.00,206717.00,206091.00,412808.00
GOLD COAST,2009,9,188200.00,182860.00,371060.00,30521.00,31368.00,61889.00,218721.00,214228.00,432949.00
GOLD COAST,2009,10,193845.00,197470.00,391315.00,30399.00,31251.00,61650.00,224244.00,228721.00,452965.00
GOLD COAST,2009,11,178007.00,179600.00,357607.00,30037.00,32235.00,62272.00,208044.00,211835.00,419879.00
GOLD COAST,2009,12,179311.00,173742.00,353053.00,31049.00,34869.00,65918.00,210360.00,208611.00,418971.00
GOLD COAST,2010,1,194353.00,200699.00,395052.00,34977.00,33841.00,68818.00,229330.00,234540.00,463870.00
GOLD COAST,2010,2,181699.00,179840.00,361539.00,31244.00,31266.00,62510.00,212943.00,211106.00,424049.00
GOLD COAST,2010,3,198637.00,194526.00,393163.00,35150.00,36218.00,71368.00,233787.00,230744.00,464531.00
GOLD COAST,2010,4,193045.00,197697.00,390742.00,31212.00,29531.00,60743.00,224257.00,227228.00,451485.00
GOLD COAST,2010,5,181410.00,182011.00,363421.00,26191.00,28175.00,54366.00,207601.00,210186.00,417787.00
GOLD COAST,2010,6,181333.00,177531.00,358864.00,27027.00,28564.00,55591.00,208360.00,206095.00,414455.00
GOLD COAST,2010,7,208794.00,210106.00,418900.00,33974.00,29982.00,63956.00,242768.00,240088.00,482856.00
GOLD COAST,2010,8,193943.00,195166.00,389109.00,34085.00,37628.00,71713.00,228028.00,232794.00,460822.00
GOLD COAST,2010,9,211674.00,201192.00,412866.00,32551.00,35732.00,68283.00,244225.00,236924.00,481149.00
GOLD COAST,2010,10,207738.00,213135.00,420873.00,33635.00,33355.00,66990.00,241373.00,246490.00,487863.00
GOLD COAST,2010,11,200935.00,204002.00,404937.00,30669.00,35394.00,66063.00,231604.00,239396.00,471000.00
GOLD COAST,2010,12,214564.00,205921.00,420485.00,34186.00,42082.00,76268.00,248750.00,248003.00,496753.00
GOLD COAST,2011,1,232797.00,249492.00,482289.00,41804.00,37522.00,79326.00,274601.00,287014.00,561615.00
GOLD COAST,2011,2,168188.00,173197.00,341385.00,32924.00,31144.00,64068.00,201112.00,204341.00,405453.00
GOLD COAST,2011,3,185830.00,187395.00,373225.00,32255.00,30531.00,62786.00,218085.00,217926.00,436011.00
GOLD COAST,2011,4,192240.00,187386.00,379626.00,27558.00,26353.00,53911.00,219798.00,213739.00,433537.00
GOLD COAST,2011,5,170531.00,173866.00,344397.00,26231.00,27520.00,53751.00,196762.00,201386.00,398148.00
GOLD COAST,2011,6,164516.00,161764.00,326280.00,21118.00,23467.00,44585.00,185634.00,185231.00,370865.00
GOLD COAST,2011,7,197540.00,193552.00,391092.00,28041.00,25173.00,53214.00,225581.00,218725.00,444306.00
GOLD COAST,2011,8,180526.00,179493.00,360019.00,30677.00,31499.00,62176.00,211203.00,210992.00,422195.00
GOLD COAST,2011,9,194819.00,184970.00,379789.00,24972.00,28808.00,53780.00,219791.00,213778.00,433569.00
GOLD COAST,2011,10,201561.00,206303.00,407864.00,31390.00,28441.00,59831.00,232951.00,234744.00,467695.00
GOLD COAST,2011,11,192047.00,193521.00,385568.00,28281.00,30597.00,58878.00,220328.00,224118.00,444446.00
GOLD COAST,2011,12,211701.00,198065.00,409766.00,31054.00,38503.00,69557.00,242755.00,236568.00,479323.00
GOLD COAST,2012,1,218113.00,225797.00,443910.00,37778.00,34394.00,72172.00,255891.00,260191.00,516082.00
GOLD COAST,2012,2,176145.00,181526.00,357671.00,31505.00,29558.00,61063.00,207650.00,211084.00,418734.00
GOLD COAST,2012,3,198257.00,194928.00,393185.00,31081.00,32987.00,64068.00,229338.00,227915.00,457253.00
GOLD COAST,2012,4,193298.00,198991.00,392289.00,30159.00,28698.00,58857.00,223457.00,227689.00,451146.00
GOLD COAST,2012,5,169383.00,168416.00,337799.00,24579.00,24653.00,49232.00,193962.00,193069.00,387031.00
GOLD COAST,2012,6,173581.00,169033.00,342614.00,29426.00,32750.00,62176.00,203007.00,201783.00,404790.00
GOLD COAST,2012,7,203728.00,206186.00,409914.00,40614.00,34658.00,75272.00,244342.00,240844.00,485186.00
GOLD COAST,2012,8,193980.00,195043.00,389023.00,36010.00,37046.00,73056.00,229990.00,232089.00,462079.00
GOLD COAST,2012,9,227752.00,215788.00,443540.00,33105.00,38179.00,71284.00,260857.00,253967.00,514824.00
GOLD COAST,2012,10,226551.00,236294.00,462845.00,39394.00,36229.00,75623.00,265945.00,272523.00,538468.00
GOLD COAST,2012,11,213335.00,215989.00,429324.00,35806.00,36323.00,72129.00,249141.00,252312.00,501453.00
GOLD COAST,2012,12,230683.00,222088.00,452771.00,39944.00,49548.00,89492.00,270627.00,271636.00,542263.00
GOLD COAST,2013,1,227975.00,237676.00,465651.00,46240.00,41993.00,88233.00,274215.00,279669.00,553884.00
GOLD COAST,2013,2,176245.00,181560.00,357805.00,37372.00,33017.00,70389.00,213617.00,214577.00,428194.00
GOLD COAST,2013,3,201349.00,198297.00,399646.00,37409.00,39839.00,77248.00,238758.00,238136.00,476894.00
GOLD COAST,2013,4,202809.00,210613.00,413422.00,34455.00,31352.00,65807.00,237264.00,241965.00,479229.00
GOLD COAST,2013,5,170309.00,172736.00,343045.00,30224.00,30757.00,60981.00,200533.00,203493.00,404026.00
GOLD COAST,2013,6,178104.00,177383.00,355487.00,29774.00,33248.00,63022.00,207878.00,210631.00,418509.00
GOLD COAST,2013,7,211763.00,213706.00,425469.00,38532.00,32125.00,70657.00,250295.00,245831.00,496126.00
GOLD COAST,2013,8,197325.00,199710.00,397035.00,35168.00,36545.00,71713.00,232493.00,236255.00,468748.00
GOLD COAST,2013,9,220798.00,208414.00,429212.00,32323.00,36023.00,68346.00,253121.00,244437.00,497558.00
GOLD COAST,2013,10,229553.00,237503.00,467056.00,38248.00,34129.00,72377.00,267801.00,271632.00,539433.00
GOLD COAST,2013,11,197351.00,201785.00,399136.00,33713.00,34421.00,68134.00,231064.00,236206.00,467270.00
GOLD COAST,2013,12,229436.00,219869.00,449305.00,39707.00,48291.00,87998.00,269143.00,268160.00,537303.00
GOLD COAST,2014,1,233478.00,248687.00,482165.00,49373.00,43639.00,93012.00,282851.00,292326.00,575177.00
GOLD COAST,2014,2,175850.00,180341.00,356191.00,38138.00,35156.00,73294.00,213988.00,215497.00,429485.00
GOLD COAST,2014,3,196731.00,198767.00,395498.00,37933.00,37464.00,75397.00,234664.00,236231.00,470895.00
GOLD COAST,2014,4,199982.00,201778.00,401760.00,35779.00,32787.00,68566.00,235761.00,234565.00,470326.00
GOLD COAST,2014,5,176988.00,177180.00,354168.00,31216.00,29173.00,60389.00,208204.00,206353.00,414557.00
GOLD COAST,2014,6,176731.00,174501.00,351232.00,31391.00,34036.00,65427.00,208122.00,208537.00,416659.00
GOLD COAST,2014,7,213989.00,214951.00,428940.00,41936.00,35206.00,77142.00,255925.00,250157.00,506082.00
GOLD COAST,2014,8,199892.00,203361.00,403253.00,35563.00,37014.00,72577.00,235455.00,240375.00,475830.00
GOLD COAST,2014,9,219163.00,209110.00,428273.00,33293.00,35862.00,69155.00,252456.00,244972.00,497428.00
GOLD COAST,2014,10,235350.00,240190.00,475540.00,38397.00,34072.00,72469.00,273747.00,274262.00,548009.00
GOLD COAST,2014,11,205695.00,206609.00,412304.00,33719.00,35565.00,69284.00,239414.00,242174.00,481588.00
GOLD COAST,2014,12,233645.00,224884.00,458529.00,38278.00,45981.00,84259.00,271923.00,270865.00,542788.00
GOLD COAST,2015,1,228760.00,247455.00,476215.00,47430.00,40477.00,87907.00,276190.00,287932.00,564122.00
GOLD COAST,2015,2,176481.00,180128.00,356609.00,35098.00,32950.00,68048.00,211579.00,213078.00,424657.00
GOLD COAST,2015,3,201680.00,198263.00,399943.00,37413.00,35449.00,72862.00,239093.00,233712.00,472805.00
GOLD COAST,2015,4,204814.00,211335.00,416149.00,37202.00,34068.00,71270.00,242016.00,245403.00,487419.00
GOLD COAST,2015,5,182778.00,184034.00,366812.00,34086.00,31677.00,65763.00,216864.00,215711.00,432575.00
GOLD COAST,2015,6,186821.00,179078.00,365899.00,32051.00,36170.00,68221.00,218872.00,215248.00,434120.00
GOLD COAST,2015,7,223508.00,227796.00,451304.00,49303.00,40515.00,89818.00,272811.00,268311.00,541122.00
GOLD COAST,2015,8,205291.00,207141.00,412432.00,37253.00,37977.00,75230.00,242544.00,245118.00,487662.00
GOLD COAST,2015,9,233558.00,221191.00,454749.00,40579.00,42342.00,82921.00,274137.00,263533.00,537670.00
GOLD COAST,2015,10,236242.00,241794.00,478036.00,45123.00,40934.00,86057.00,281365.00,282728.00,564093.00
GOLD COAST,2015,11,212679.00,218157.00,430836.00,38050.00,40108.00,78158.00,250729.00,258265.00,508994.00
GOLD COAST,2015,12,242367.00,230040.00,472407.00,45218.00,51494.00,96712.00,287585.00,281534.00,569119.00
GOLD COAST,2016,1,247220.00,268967.00,516187.00,52344.00,43905.00,96249.00,299564.00,312872.00,612436.00
GOLD COAST,2016,2,197007.00,202951.00,399958.00,42775.00,36302.00,79077.00,239782.00,239253.00,479035.00
GOLD COAST,2016,3,219004.00,218426.00,437430.00,46336.00,44337.00,90673.00,265340.00,262763.00,528103.00
GOLD COAST,2016,4,213036.00,219439.00,432475.00,45883.00,39557.00,85440.00,258919.00,258996.00,517915.00
GOLD COAST,2016,5,190164.00,193810.00,383974.00,40725.00,37346.00,78071.00,230889.00,231156.00,462045.00
GOLD COAST,2016,6,195060.00,186355.00,381415.00,40144.00,43653.00,83797.00,235204.00,230008.00,465212.00
GOLD COAST,2016,7,232007.00,236570.00,468577.00,59466.00,47514.00,106980.00,291473.00,284084.00,575557.00
GOLD COAST,2016,8,210580.00,215272.00,425852.00,47794.00,48410.00,96204.00,258374.00,263682.00,522056.00
GOLD COAST,2016,9,236038.00,225191.00,461229.00,48322.00,48558.00,96880.00,284360.00,273749.00,558109.00
GOLD COAST,2016,10,241097.00,246926.00,488023.00,48289.00,44655.00,92944.00,289386.00,291581.00,580967.00
GOLD COAST,2016,11,217585.00,221922.00,439507.00,41995.00,42664.00,84659.00,259580.00,264586.00,524166.00
GOLD COAST,2016,12,246168.00,236962.00,483130.00,48627.00,53957.00,102584.00,294795.00,290919.00,585714.00
GOLD COAST,2017,1,249932.00,269342.00,519274.00,57691.00,46200.00,103891.00,307623.00,315542.00,623165.00
GOLD COAST,2017,2,190703.00,196827.00,387530.00,42614.00,36458.00,79072.00,233317.00,233285.00,466602.00
GOLD COAST,2017,3,215154.00,212372.00,427526.00,44795.00,42345.00,87140.00,259949.00,254717.00,514666.00
GOLD COAST,2017,4,230176.00,233720.00,463896.00,48791.00,45433.00,94224.00,278967.00,279153.00,558120.00
GOLD COAST,2017,5,197532.00,199078.00,396610.00,40980.00,37658.00,78638.00,238512.00,236736.00,475248.00
GOLD COAST,2017,6,198253.00,192782.00,391035.00,39900.00,41871.00,81771.00,238153.00,234653.00,472806.00
GOLD COAST,2017,7,240788.00,238372.00,479160.00,53245.00,42828.00,96073.00,294033.00,281200.00,575233.00
GOLD COAST,2017,8,210013.00,214791.00,424804.00,45310.00,44960.00,90270.00,255323.00,259751.00,515074.00
GOLD COAST,2017,9,236713.00,223207.00,459920.00,43479.00,44284.00,87763.00,280192.00,267491.00,547683.00
GOLD COAST,2017,10,240741.00,252165.00,492906.00,49333.00,44902.00,94235.00,290074.00,297067.00,587141.00
GOLD COAST,2017,11,226173.00,228215.00,454388.00,41391.00,43142.00,84533.00,267564.00,271357.00,538921.00
GOLD COAST,2017,12,256458.00,245478.00,501936.00,48111.00,54377.00,102488.00,304569.00,299855.00,604424.00
GOLD COAST,2018,1,262917.00,283349.00,546266.00,55665.00,47400.00,103065.00,318582.00,330749.00,649331.00
GOLD COAST,2018,2,198220.00,201132.00,399352.00,41025.00,37190.00,78215.00,239245.00,238322.00,477567.00
GOLD COAST,2018,3,229124.00,222321.00,451445.00,44258.00,44035.00,88293.00,273382.00,266356.00,539738.00
GOLD COAST,2018,4,234754.00,242712.00,477466.00,48166.00,42169.00,90335.00,282920.00,284881.00,567801.00
GOLD COAST,2018,5,195129.00,197669.00,392798.00,38091.00,36695.00,74786.00,233220.00,234364.00,467584.00
GOLD COAST,2018,6,198752.00,191807.00,390559.00,39070.00,41285.00,80355.00,237822.00,233092.00,470914.00
GOLD COAST,2018,7,238435.00,239301.00,477736.00,50439.00,43182.00,93621.00,288874.00,282483.00,571357.00
GOLD COAST,2018,8,222751.00,224919.00,447670.00,43070.00,42826.00,85896.00,265821.00,267745.00,533566.00
GOLD COAST,2018,9,232596.00,223958.00,456554.00,38337.00,40845.00,79182.00,270933.00,264803.00,535736.00
GOLD COAST,2018,10,239357.00,247668.00,487025.00,44146.00,42429.00,86575.00,283503.00,290097.00,573600.00
GOLD COAST,2018,11,223284.00,223640.00,446924.00,35905.00,37921.00,73826.00,259189.00,261561.00,520750.00
GOLD COAST,2018,12,249216.00,238173.00,487389.00,41245.00,49804.00,91049.00,290461.00,287977.00,578438.00
GOLD COAST,2019,1,262601.00,279573.00,542174.00,50028.00,45595.00,95623.00,312629.00,325168.00,637797.00
GOLD COAST,2019,2,190989.00,197259.00,388248.00,37158.00,33065.00,70223.00,228147.00,230324.00,458471.00
GOLD COAST,2019,3,213949.00,211594.00,425543.00,37533.00,36254.00,73787.00,251482.00,247848.00,499330.00
GOLD COAST,2019,4,238715.00,240862.00,479577.00,41791.00,39330.00,81121.00,280506.00,280192.00,560698.00
GOLD COAST,2019,5,202593.00,203317.00,405910.00,33718.00,31341.00,65059.00,236311.00,234658.00,470969.00
GOLD COAST,2019,6,203236.00,198016.00,401252.00,34422.00,37429.00,71851.00,237658.00,235445.00,473103.00
GOLD COAST,2019,7,247576.00,248958.00,496534.00,46702.00,39113.00,85815.00,294278.00,288071.00,582349.00
GOLD COAST,2019,8,222730.00,225565.00,448295.00,38835.00,39005.00,77840.00,261565.00,264570.00,526135.00
GOLD COAST,2019,9,241442.00,230758.00,472200.00,36132.00,37885.00,74017.00,277574.00,268643.00,546217.00
GOLD COAST,2019,10,255381.00,265431.00,520812.00,40033.00,37218.00,77251.00,295414.00,302649.00,598063.00
GOLD COAST,2019,11,225477.00,231244.00,456721.00,34509.00,35596.00,70105.00,259986.00,266840.00,526826.00
GOLD COAST,2019,12,261555.00,244787.00,506342.00,45674.00,52629.00,98303.00,307229.00,297416.00,604645.00
GOLD COAST,2020,1,262457.00,276137.00,538594.00,52235.00,47115.00,99350.00,314692.00,323252.00,637944.00
GOLD COAST,2020,2,185735.00,189523.00,375258.00,36789.00,32871.00,69660.00,222524.00,222394.00,444918.00
GOLD COAST,2020,3,127307.00,137163.00,264470.00,20412.00,18038.00,38450.00,147719.00,155201.00,302920.00
GOLD COAST,2020,4,596.00,922.00,1518.00,0.00,0.00,0.00,596.00,922.00,1518.00
GOLD COAST,2020,5,1025.00,1272.00,2297.00,0.00,0.00,0.00,1025.00,1272.00,2297.00
